"";"category";"over_represented_pvalue";"under_represented_pvalue";"numDEInCat";"numInCat";"term";"ontology";"over_represented_padj";"under_represented_padj"
"GO:0016787";"GO:0016787";1,82227987443253e-11;1;29;1268;"hydrolase activity";"MF";1,33919347972047e-07;1
"GO:0008233";"GO:0008233";6,01351238678238e-08;0,999999992150564;14;435;"peptidase activity";"MF";0,000129640246814568;1
"GO:0006508";"GO:0006508";6,3985293817731e-08;0,999999988778125;18;752;"proteolysis";"BP";0,000129640246814568;1
"GO:0005764";"GO:0005764";8,62828787270502e-08;0,99999999659781;7;74;"lysosome";"CC";0,000129640246814568;1
"GO:0008234";"GO:0008234";8,82026444513321e-08;0,999999994012007;9;147;"cysteine-type peptidase activity";"MF";0,000129640246814568;1
"GO:0016798";"GO:0016798";3,53514129543227e-06;0,999999818113225;6;74;"hydrolase activity, acting on glycosyl bonds";"MF";0,00432995889668862;1
"GO:0008152";"GO:0008152";6,78233954536861e-06;0,999999606646599;6;82;"metabolic process";"BP";0,0071204876169877;1
"GO:0005975";"GO:0005975";1,44019151539202e-05;0,999998426874484;8;208;"carbohydrate metabolic process";"BP";0,0132299593082699;1
"GO:0005765";"GO:0005765";9,64714316151699e-05;0,999995918800686;4;46;"lysosomal membrane";"CC";0,0787742834377649;1
"GO:0004553";"GO:0004553";0,000169235748737961;0,999991677724225;4;49;"hydrolase activity, hydrolyzing O-glycosyl compounds";"MF";0,124371351747528;1
"GO:0031902";"GO:0031902";0,00028411757209928;0,999992101894777;3;26;"late endosome membrane";"CC";0,18981636703251;1
"GO:0003824";"GO:0003824";0,000343738281119105;0,999918280205484;11;587;"catalytic activity";"MF";0,199512576588564;1
"GO:0004185";"GO:0004185";0,000352927404497393;0,999997908836615;2;5;"serine-type carboxypeptidase activity";"MF";0,199512576588564;1
"GO:0004559";"GO:0004559";0,000562903701646027;0,999995405770502;2;6;"alpha-mannosidase activity";"MF";0,295484235956904;1
"GO:0006013";"GO:0006013";0,000661307357449078;0,999993816438268;2;7;"mannose metabolic process";"BP";0,323996517992885;1
"GO:0061959";"GO:0061959";0,000772137748169633;0,999992191263182;2;7;"response to (R)-carnitine";"BP";0,335930777523097;1
