"";"ensembl_gene_id";"description";"external_gene_name";"entrezgene";"zfin_id_id"
"1";"ENSDARG00000000001";"solute carrier family 35, member A5 [Source:ZFIN;Acc:ZDB-GENE-030616-55]";"slc35a5";368418;"ZDB-GENE-030616-55"
"2";"ENSDARG00000000002";"coiled-coil domain containing 80 [Source:ZFIN;Acc:ZDB-GENE-030616-56]";"ccdc80";368419;"ZDB-GENE-030616-56"
"3";"ENSDARG00000000018";"nuclear respiratory factor 1 [Source:ZFIN;Acc:ZDB-GENE-001221-1]";"nrf1";64604;"ZDB-GENE-001221-1"
"4";"ENSDARG00000000019";"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-030616-67]";"ube2h";368425;"ZDB-GENE-030616-67"
"5";"ENSDARG00000000068";"SLC9A3 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-031006-7]";"slc9a3r1a";327272;"ZDB-GENE-031006-7"
"6";"ENSDARG00000000069";"death-associated protein [Source:ZFIN;Acc:ZDB-GENE-000511-3]";"dap";58093;"ZDB-GENE-000511-3"
"7";"ENSDARG00000000086";"intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]";"itsn1";368504;"ZDB-GENE-030616-226"
"8";"ENSDARG00000000103";"myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]";"myh10";555454;"ZDB-GENE-030616-162"
"9";"ENSDARG00000000142";"transmembrane protein 267 [Source:ZFIN;Acc:ZDB-GENE-030616-546]";"tmem267";368645;"ZDB-GENE-030616-546"
"10";"ENSDARG00000000151";"thyroid hormone receptor alpha a [Source:ZFIN;Acc:ZDB-GENE-990415-263]";"thraa";30670;"ZDB-GENE-990415-263"
"11";"ENSDARG00000000161";"intersectin 2a [Source:ZFIN;Acc:ZDB-GENE-041014-84]";"itsn2a";566412;"ZDB-GENE-041014-84"
"12";"ENSDARG00000000175";"homeobox B2a [Source:ZFIN;Acc:ZDB-GENE-990415-103]";"hoxb2a";30338;"ZDB-GENE-990415-103"
"13";"ENSDARG00000000183";"protein tyrosine phosphatase, non-receptor type 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6259]";"ptpn4b";407634;"ZDB-GENE-030131-6259"
"14";"ENSDARG00000000189";"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E [Source:ZFIN;Acc:ZDB-GENE-040724-119]";"sema6e";556743;"ZDB-GENE-040724-119"
"15";"ENSDARG00000000212";"keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]";"krt97";436656;"ZDB-GENE-040718-78"
"16";"ENSDARG00000000229";"ubiquitin specific peptidase 49 [Source:ZFIN;Acc:ZDB-GENE-050208-484]";"usp49";559473;"ZDB-GENE-050208-484"
"17";"ENSDARG00000000241";"solute carrier family 40 (iron-regulated transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-000511-8]";"slc40a1";58153;"ZDB-GENE-000511-8"
"18";"ENSDARG00000000349";"cilia and flagella associated protein 300 [Source:ZFIN;Acc:ZDB-GENE-040724-203]";"cfap300";497149;"ZDB-GENE-040724-203"
"19";"ENSDARG00000000369";"protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]";"prkag3b";678619;"ZDB-GENE-060421-6938"
"20";"ENSDARG00000000370";"trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]";"triob";368847;"ZDB-GENE-030616-399"
"21";"ENSDARG00000000380";"phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:ZFIN;Acc:ZDB-GENE-030616-42]";"pde6a";368410;"ZDB-GENE-030616-42"
