"";"ensembl_transcript_id_version";"ensembl_gene_id"
"1";"ENSDART00000004476.9";"ENSDARG00000012446"
"2";"ENSDART00000004842.8";"ENSDARG00000009844"
"3";"ENSDART00000005901.9";"ENSDARG00000011821"
"4";"ENSDART00000006927.6";"ENSDARG00000007250"
"5";"ENSDART00000007053.9";"ENSDARG00000024184"
"6";"ENSDART00000007487.9";"ENSDARG00000003132"
"7";"ENSDART00000015000.8";"ENSDARG00000018871"
"8";"ENSDART00000017850.9";"ENSDARG00000020986"
"9";"ENSDART00000019733.8";"ENSDARG00000006560"
"10";"ENSDART00000020044.9";"ENSDARG00000002355"
"11";"ENSDART00000021092.9";"ENSDARG00000016977"
"12";"ENSDART00000021121.8";"ENSDARG00000003175"
"13";"ENSDART00000022179.9";"ENSDARG00000003818"
"14";"ENSDART00000024330.9";"ENSDARG00000015793"
"15";"ENSDART00000025356.7";"ENSDARG00000019156"
"16";"ENSDART00000025562.8";"ENSDARG00000061371"
"17";"ENSDART00000026516.7";"ENSDARG00000003144"
"18";"ENSDART00000030773.5";"ENSDARG00000023058"
"19";"ENSDART00000039510.6";"ENSDARG00000033446"
"20";"ENSDART00000041577.8";"ENSDARG00000033099"
"21";"ENSDART00000043933.5";"ENSDARG00000033789"
"22";"ENSDART00000044115.6";"ENSDARG00000034734"
"23";"ENSDART00000045186.6";"ENSDARG00000030472"
"24";"ENSDART00000047912.9";"ENSDARG00000029612"
"25";"ENSDART00000049291.5";"ENSDARG00000032737"
"26";"ENSDART00000051070.7";"ENSDARG00000052851"
"27";"ENSDART00000052086.6";"ENSDARG00000035875"
"28";"ENSDART00000052422.3";"ENSDARG00000036109"
"29";"ENSDART00000052906.6";"ENSDARG00000036420"
"30";"ENSDART00000054843.7";"ENSDARG00000037652"
"31";"ENSDART00000055611.7";"ENSDARG00000038154"
"32";"ENSDART00000057257.5";"ENSDARG00000039490"
"33";"ENSDART00000057464.7";"ENSDARG00000052097"
"34";"ENSDART00000057697.6";"ENSDARG00000039490"
"35";"ENSDART00000060594.6";"ENSDARG00000041340"
"36";"ENSDART00000061577.6";"ENSDARG00000042018"
